"ID","Name","Category","Price"
"ID1","Name1","Category3","623.00"
"ID2","Name2","Category4","100.00"
"ID3","Name3","Category4","349.00"
"ID4","Name4","Category1","864.00"
"ID5","Name5","Category2","337.00"
"ID6","Name6","Category3","386.00"
"ID7","Name7","Category2","937.00"
"ID8","Name8","Category1","267.00"
"ID9","Name9","Category3","104.00"
"ID10","Name10","Category4","919.00"
"ID11","Name11","Category4","789.00"
"ID12","Name12","Category1","883.00"
"ID13","Name13","Category1","479.00"
"ID14","Name14","Category1","675.00"
"ID15","Name15","Category4","830.00"
"ID16","Name16","Category1","882.00"
"ID17","Name17","Category4","331.00"
"ID18","Name18","Category3","901.00"
"ID19","Name19","Category3","900.00"
"ID20","Name20","Category3","458.00"
"ID21","Name21","Category3","578.00"
"ID22","Name22","Category1","220.00"
"ID23","Name23","Category3","282.00"
"ID24","Name24","Category2","641.00"
"ID25","Name25","Category3","509.00"
"ID26","Name26","Category2","835.00"
"ID27","Name27","Category1","475.00"
"ID28","Name28","Category4","845.00"
"ID29","Name29","Category3","778.00"
"ID30","Name30","Category1","304.00"
"ID31","Name31","Category3","338.00"
"ID32","Name32","Category4","157.00"
"ID33","Name33","Category1","736.00"
"ID34","Name34","Category1","318.00"
"ID35","Name35","Category4","624.00"
"ID36","Name36","Category3","550.00"
"ID37","Name37","Category2","681.00"
"ID38","Name38","Category3","879.00"
"ID39","Name39","Category3","189.00"
"ID40","Name40","Category1","975.00"
"ID41","Name41","Category4","312.00"
"ID42","Name42","Category3","445.00"
"ID43","Name43","Category4","685.00"
"ID44","Name44","Category1","114.00"
"ID45","Name45","Category3","893.00"
"ID46","Name46","Category4","425.00"
"ID47","Name47","Category4","711.00"
"ID48","Name48","Category3","834.00"
"ID49","Name49","Category1","243.00"
"ID50","Name50","Category4","362.00"
"ID51","Name51","Category3","804.00"
"ID52","Name52","Category3","765.00"
"ID53","Name53","Category2","15.00"
"ID54","Name54","Category4","775.00"
"ID55","Name55","Category2","218.00"
"ID56","Name56","Category4","546.00"
"ID57","Name57","Category3","150.00"
"ID58","Name58","Category1","710.00"
"ID59","Name59","Category4","788.00"
"ID60","Name60","Category3","97.00"
"ID61","Name61","Category3","365.00"
"ID62","Name62","Category2","613.00"
"ID63","Name63","Category2","616.00"
"ID64","Name64","Category1","984.00"
"ID65","Name65","Category2","395.00"
"ID66","Name66","Category2","153.00"
"ID67","Name67","Category3","785.00"
"ID68","Name68","Category2","150.00"
"ID69","Name69","Category2","986.00"
"ID70","Name70","Category4","374.00"
"ID71","Name71","Category3","993.00"
"ID72","Name72","Category1","160.00"
"ID73","Name73","Category4","232.00"
"ID74","Name74","Category3","562.00"
"ID75","Name75","Category2","709.00"
"ID76","Name76","Category3","604.00"
"ID77","Name77","Category3","833.00"
"ID78","Name78","Category3","742.00"
"ID79","Name79","Category1","246.00"
"ID80","Name80","Category4","247.00"
"ID81","Name81","Category1","206.00"
"ID82","Name82","Category4","110.00"
"ID83","Name83","Category3","654.00"
"ID84","Name84","Category3","993.00"
"ID85","Name85","Category2","892.00"
"ID86","Name86","Category1","782.00"
"ID87","Name87","Category3","893.00"
"ID88","Name88","Category1","667.00"
"ID89","Name89","Category1","804.00"
"ID90","Name90","Category1","635.00"
"ID91","Name91","Category4","877.00"
"ID92","Name92","Category4","474.00"
"ID93","Name93","Category4","2.00"
"ID94","Name94","Category1","122.00"
"ID95","Name95","Category4","189.00"
"ID96","Name96","Category2","217.00"
"ID97","Name97","Category4","856.00"
"ID98","Name98","Category1","154.00"
"ID99","Name99","Category4","47.00"
"ID100","Name100","Category3","54.00"
"ID101","Name101","Category3","567.00"
"ID102","Name102","Category1","971.00"
"ID103","Name103","Category3","849.00"
"ID104","Name104","Category2","431.00"
"ID105","Name105","Category2","963.00"
"ID106","Name106","Category1","986.00"
"ID107","Name107","Category3","545.00"
"ID108","Name108","Category3","395.00"
"ID109","Name109","Category4","958.00"
"ID110","Name110","Category4","104.00"
"ID111","Name111","Category1","173.00"
"ID112","Name112","Category3","34.00"
"ID113","Name113","Category1","900.00"
"ID114","Name114","Category3","166.00"
"ID115","Name115","Category3","192.00"
"ID116","Name116","Category2","334.00"
"ID117","Name117","Category4","345.00"
"ID118","Name118","Category1","9.00"
"ID119","Name119","Category4","791.00"
"ID120","Name120","Category2","526.00"
"ID121","Name121","Category4","96.00"
"ID122","Name122","Category2","241.00"
"ID123","Name123","Category3","424.00"
"ID124","Name124","Category1","968.00"
"ID125","Name125","Category2","553.00"
"ID126","Name126","Category1","671.00"
"ID127","Name127","Category1","341.00"
"ID128","Name128","Category3","790.00"
"ID129","Name129","Category3","508.00"
"ID130","Name130","Category3","892.00"
"ID131","Name131","Category1","384.00"
"ID132","Name132","Category4","942.00"
"ID133","Name133","Category3","734.00"
"ID134","Name134","Category3","158.00"
"ID135","Name135","Category4","659.00"
"ID136","Name136","Category2","848.00"
"ID137","Name137","Category4","74.00"
"ID138","Name138","Category4","35.00"
"ID139","Name139","Category4","20.00"
"ID140","Name140","Category4","482.00"
"ID141","Name141","Category1","140.00"
"ID142","Name142","Category3","207.00"
"ID143","Name143","Category1","957.00"
"ID144","Name144","Category1","100.00"
"ID145","Name145","Category3","652.00"
"ID146","Name146","Category3","475.00"
"ID147","Name147","Category3","698.00"
"ID148","Name148","Category2","317.00"
"ID149","Name149","Category1","99.00"
"ID150","Name150","Category3","93.00"
"ID151","Name151","Category3","77.00"
"ID152","Name152","Category3","67.00"
"ID153","Name153","Category3","706.00"
"ID154","Name154","Category2","257.00"
"ID155","Name155","Category4","966.00"
"ID156","Name156","Category1","899.00"
"ID157","Name157","Category4","389.00"
"ID158","Name158","Category3","39.00"
"ID159","Name159","Category3","266.00"
"ID160","Name160","Category1","61.00"
"ID161","Name161","Category4","234.00"
"ID162","Name162","Category1","440.00"
"ID163","Name163","Category4","848.00"
"ID164","Name164","Category3","207.00"
"ID165","Name165","Category4","941.00"
"ID166","Name166","Category3","628.00"
"ID167","Name167","Category1","514.00"
"ID168","Name168","Category3","923.00"
"ID169","Name169","Category3","381.00"
"ID170","Name170","Category3","83.00"
"ID171","Name171","Category1","70.00"
"ID172","Name172","Category4","663.00"
"ID173","Name173","Category2","921.00"
"ID174","Name174","Category2","865.00"
"ID175","Name175","Category2","33.00"
"ID176","Name176","Category2","441.00"
"ID177","Name177","Category2","825.00"
"ID178","Name178","Category2","284.00"
"ID179","Name179","Category2","759.00"
"ID180","Name180","Category3","997.00"
"ID181","Name181","Category3","8.00"
"ID182","Name182","Category2","408.00"
"ID183","Name183","Category2","846.00"
"ID184","Name184","Category4","343.00"
"ID185","Name185","Category1","106.00"
"ID186","Name186","Category1","363.00"
"ID187","Name187","Category3","403.00"
"ID188","Name188","Category3","267.00"
"ID189","Name189","Category4","939.00"
"ID190","Name190","Category4","560.00"
"ID191","Name191","Category4","482.00"
"ID192","Name192","Category1","793.00"
"ID193","Name193","Category4","108.00"
"ID194","Name194","Category1","652.00"
"ID195","Name195","Category3","783.00"
"ID196","Name196","Category4","815.00"
"ID197","Name197","Category1","910.00"
"ID198","Name198","Category3","426.00"
"ID199","Name199","Category4","848.00"
"ID200","Name200","Category3","842.00"
"ID201","Name201","Category2","39.00"
"ID202","Name202","Category1","28.00"
"ID203","Name203","Category1","938.00"
"ID204","Name204","Category4","892.00"
"ID205","Name205","Category1","593.00"
"ID206","Name206","Category4","625.00"
"ID207","Name207","Category2","953.00"
"ID208","Name208","Category4","615.00"
"ID209","Name209","Category1","58.00"
"ID210","Name210","Category3","53.00"
"ID211","Name211","Category4","178.00"
"ID212","Name212","Category4","672.00"
"ID213","Name213","Category2","334.00"
"ID214","Name214","Category1","988.00"
"ID215","Name215","Category1","207.00"
"ID216","Name216","Category2","837.00"
"ID217","Name217","Category4","28.00"
"ID218","Name218","Category3","921.00"
"ID219","Name219","Category4","768.00"
"ID220","Name220","Category1","10.00"
"ID221","Name221","Category4","935.00"
"ID222","Name222","Category3","951.00"
"ID223","Name223","Category3","658.00"
"ID224","Name224","Category1","692.00"
"ID225","Name225","Category4","982.00"
"ID226","Name226","Category3","590.00"
"ID227","Name227","Category4","578.00"
"ID228","Name228","Category2","251.00"
"ID229","Name229","Category2","50.00"
"ID230","Name230","Category4","214.00"
"ID231","Name231","Category2","531.00"
"ID232","Name232","Category1","124.00"
"ID233","Name233","Category4","935.00"
"ID234","Name234","Category3","181.00"
"ID235","Name235","Category4","369.00"
"ID236","Name236","Category3","173.00"
"ID237","Name237","Category3","191.00"
"ID238","Name238","Category2","635.00"
"ID239","Name239","Category3","544.00"
"ID240","Name240","Category3","678.00"
"ID241","Name241","Category1","758.00"
"ID242","Name242","Category2","14.00"
"ID243","Name243","Category4","524.00"
"ID244","Name244","Category4","361.00"
"ID245","Name245","Category1","730.00"
"ID246","Name246","Category4","724.00"
"ID247","Name247","Category2","57.00"
"ID248","Name248","Category3","221.00"
"ID249","Name249","Category3","615.00"
"ID250","Name250","Category1","431.00"
"ID251","Name251","Category2","566.00"
"ID252","Name252","Category2","236.00"
"ID253","Name253","Category4","486.00"
"ID254","Name254","Category4","193.00"
"ID255","Name255","Category2","433.00"
"ID256","Name256","Category3","181.00"
"ID257","Name257","Category4","978.00"
"ID258","Name258","Category1","912.00"
"ID259","Name259","Category2","959.00"
"ID260","Name260","Category2","401.00"
"ID261","Name261","Category4","530.00"
"ID262","Name262","Category1","980.00"
"ID263","Name263","Category3","694.00"
"ID264","Name264","Category2","749.00"
"ID265","Name265","Category4","279.00"
"ID266","Name266","Category3","47.00"
"ID267","Name267","Category3","754.00"
"ID268","Name268","Category2","930.00"
"ID269","Name269","Category4","810.00"
"ID270","Name270","Category2","245.00"
"ID271","Name271","Category1","942.00"
"ID272","Name272","Category4","151.00"
"ID273","Name273","Category4","418.00"
"ID274","Name274","Category2","55.00"
"ID275","Name275","Category2","84.00"
"ID276","Name276","Category1","128.00"
"ID277","Name277","Category1","499.00"
"ID278","Name278","Category1","358.00"
"ID279","Name279","Category1","496.00"
"ID280","Name280","Category2","689.00"
"ID281","Name281","Category2","357.00"
"ID282","Name282","Category3","84.00"
"ID283","Name283","Category3","7.00"
"ID284","Name284","Category1","803.00"
"ID285","Name285","Category4","89.00"
"ID286","Name286","Category3","425.00"
"ID287","Name287","Category3","555.00"
"ID288","Name288","Category4","950.00"
"ID289","Name289","Category4","560.00"
"ID290","Name290","Category3","80.00"
"ID291","Name291","Category1","296.00"
"ID292","Name292","Category1","712.00"
"ID293","Name293","Category3","912.00"
"ID294","Name294","Category2","696.00"
"ID295","Name295","Category2","251.00"
"ID296","Name296","Category3","900.00"
"ID297","Name297","Category3","578.00"
"ID298","Name298","Category2","804.00"
"ID299","Name299","Category2","583.00"
"ID300","Name300","Category4","520.00"
"ID301","Name301","Category4","288.00"
"ID302","Name302","Category1","39.00"
"ID303","Name303","Category1","212.00"
"ID304","Name304","Category3","206.00"
"ID305","Name305","Category3","534.00"
"ID306","Name306","Category4","600.00"
"ID307","Name307","Category1","909.00"
"ID308","Name308","Category2","401.00"
"ID309","Name309","Category1","363.00"
"ID310","Name310","Category1","544.00"
"ID311","Name311","Category3","89.00"
"ID312","Name312","Category2","425.00"
"ID313","Name313","Category1","602.00"
"ID314","Name314","Category3","890.00"
"ID315","Name315","Category4","305.00"
"ID316","Name316","Category2","436.00"
"ID317","Name317","Category2","852.00"
"ID318","Name318","Category3","921.00"
"ID319","Name319","Category3","629.00"
"ID320","Name320","Category1","330.00"
"ID321","Name321","Category3","382.00"
"ID322","Name322","Category1","153.00"
"ID323","Name323","Category4","536.00"
"ID324","Name324","Category2","724.00"
"ID325","Name325","Category1","334.00"
"ID326","Name326","Category1","675.00"
"ID327","Name327","Category1","995.00"
"ID328","Name328","Category1","790.00"
"ID329","Name329","Category2","253.00"
"ID330","Name330","Category3","969.00"
"ID331","Name331","Category3","44.00"
"ID332","Name332","Category1","228.00"
"ID333","Name333","Category2","938.00"
"ID334","Name334","Category1","461.00"
"ID335","Name335","Category4","95.00"
"ID336","Name336","Category1","17.00"
"ID337","Name337","Category4","329.00"
"ID338","Name338","Category3","696.00"
"ID339","Name339","Category2","4.00"
"ID340","Name340","Category1","417.00"
"ID341","Name341","Category3","590.00"
"ID342","Name342","Category2","617.00"
"ID343","Name343","Category1","75.00"
"ID344","Name344","Category1","386.00"
"ID345","Name345","Category3","642.00"
"ID346","Name346","Category2","493.00"
"ID347","Name347","Category1","343.00"
"ID348","Name348","Category4","639.00"
"ID349","Name349","Category2","778.00"
"ID350","Name350","Category2","85.00"
"ID351","Name351","Category3","870.00"
"ID352","Name352","Category1","543.00"
"ID353","Name353","Category1","860.00"
"ID354","Name354","Category3","47.00"
"ID355","Name355","Category4","134.00"
"ID356","Name356","Category4","467.00"
"ID357","Name357","Category1","739.00"
"ID358","Name358","Category1","474.00"
"ID359","Name359","Category3","669.00"
"ID360","Name360","Category1","478.00"
"ID361","Name361","Category3","898.00"
"ID362","Name362","Category2","688.00"
"ID363","Name363","Category2","232.00"
"ID364","Name364","Category1","780.00"
"ID365","Name365","Category3","126.00"
"ID366","Name366","Category1","115.00"
"ID367","Name367","Category2","898.00"
"ID368","Name368","Category2","250.00"
"ID369","Name369","Category4","704.00"
"ID370","Name370","Category1","447.00"
"ID371","Name371","Category2","23.00"
"ID372","Name372","Category3","155.00"
"ID373","Name373","Category1","417.00"
"ID374","Name374","Category3","713.00"
"ID375","Name375","Category1","243.00"
"ID376","Name376","Category1","359.00"
"ID377","Name377","Category4","287.00"
"ID378","Name378","Category1","468.00"
"ID379","Name379","Category1","968.00"
"ID380","Name380","Category3","580.00"
"ID381","Name381","Category4","932.00"
"ID382","Name382","Category1","771.00"
"ID383","Name383","Category2","788.00"
"ID384","Name384","Category4","276.00"
"ID385","Name385","Category2","573.00"
"ID386","Name386","Category2","765.00"
"ID387","Name387","Category3","188.00"
"ID388","Name388","Category3","23.00"
"ID389","Name389","Category1","594.00"
"ID390","Name390","Category4","606.00"
"ID391","Name391","Category3","709.00"
"ID392","Name392","Category3","647.00"
"ID393","Name393","Category3","828.00"
"ID394","Name394","Category2","430.00"
"ID395","Name395","Category2","664.00"
"ID396","Name396","Category2","135.00"
"ID397","Name397","Category2","644.00"
"ID398","Name398","Category4","773.00"
"ID399","Name399","Category2","307.00"
"ID400","Name400","Category1","35.00"
"ID401","Name401","Category1","751.00"
"ID402","Name402","Category2","259.00"
"ID403","Name403","Category4","475.00"
"ID404","Name404","Category3","56.00"
"ID405","Name405","Category2","230.00"
"ID406","Name406","Category2","547.00"
"ID407","Name407","Category3","727.00"
"ID408","Name408","Category1","378.00"
"ID409","Name409","Category2","11.00"
"ID410","Name410","Category4","412.00"
"ID411","Name411","Category1","226.00"
"ID412","Name412","Category4","504.00"
"ID413","Name413","Category2","700.00"
"ID414","Name414","Category2","664.00"
"ID415","Name415","Category2","646.00"
"ID416","Name416","Category2","437.00"
"ID417","Name417","Category4","256.00"
"ID418","Name418","Category4","450.00"
"ID419","Name419","Category2","369.00"
"ID420","Name420","Category2","917.00"
"ID421","Name421","Category1","523.00"
"ID422","Name422","Category3","479.00"
"ID423","Name423","Category4","225.00"
"ID424","Name424","Category4","599.00"
"ID425","Name425","Category2","675.00"
"ID426","Name426","Category4","430.00"
"ID427","Name427","Category4","451.00"
"ID428","Name428","Category3","815.00"
"ID429","Name429","Category4","954.00"
"ID430","Name430","Category3","266.00"
"ID431","Name431","Category3","846.00"
"ID432","Name432","Category3","171.00"
"ID433","Name433","Category2","260.00"
"ID434","Name434","Category1","278.00"
"ID435","Name435","Category2","316.00"
"ID436","Name436","Category4","141.00"
"ID437","Name437","Category1","429.00"
"ID438","Name438","Category2","571.00"
"ID439","Name439","Category2","59.00"
"ID440","Name440","Category1","329.00"
